title,pubDate,guid,link,description,category,sentiment_label,sentiment_score
"Far-right Oath Keepers, ex-Proud Boys leaders released after Trump pardons",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/far-right-oath-keepers-ex-proud-boys-leaders-released-after-trump-pardons,https://www.aljazeera.com/news/2025/1/21/far-right-oath-keepers-ex-proud-boys-leaders-released-after-trump-pardons,"Stewart Rhodes and Enrique Tarrio, who received some of longest sentences for the US Capitol attack, freed from prison.",news,neutral,0.9998107552528381
"First raft of lawsuits target US birthright citizenship, other Trump orders",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/first-raft-of-lawsuits-target-us-birthright-citizenship-other-trump-orders,https://www.aljazeera.com/news/2025/1/21/first-raft-of-lawsuits-target-us-birthright-citizenship-other-trump-orders,"Donald Trump signs record 26 executive orders on second term’s first day, including an effort to restrict citizenship.",news,neutral,0.9995643496513367
Prince Harry court battle against Murdoch UK newspapers delayed,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/prince-harry-court-battle-against-murdoch-uk-newspapers-delayed,https://www.aljazeera.com/news/2025/1/21/prince-harry-court-battle-against-murdoch-uk-newspapers-delayed,British prince and former senior MP Tom Watson are suing News Group Newspapers over alleged unlawful activities.,news,neutral,0.9927504062652588
Israel’s top general resigns over ‘terrible’ October 7 attack failures,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/israels-top-general-resigns-over-terrible-7-october-failures,https://www.aljazeera.com/news/2025/1/21/israels-top-general-resigns-over-terrible-7-october-failures,"Herzi Halevi is the most senior Israeli figure to resign over the October 7, 2023 Hamas-led attack.",news,neutral,0.9996538162231445
"‘We will drill, baby, drill’: Why Trump wants US out of Paris climate deal",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/drill-baby-whats-the-paris-climate-deal-why-does-trump-want-out,https://www.aljazeera.com/news/2025/1/21/drill-baby-whats-the-paris-climate-deal-why-does-trump-want-out,"For a second time, Donald Trump promises to pull the US from a global agreement that most countries are party to.",news,negative,0.9612094163894653
Djokovic pulls off epic comeback to beat Alcaraz in Australian Open classic,21 Jan 2025,https://www.aljazeera.com/sports/2025/1/21/alcaraz-vs-djokovic-australian-open-quarterfinal-serb-beats-spaniard,https://www.aljazeera.com/sports/2025/1/21/alcaraz-vs-djokovic-australian-open-quarterfinal-serb-beats-spaniard,"Ten-time Melbourne champion fights back to win 4-6, 6-4, 6-3, 6-4 and set up a semifinal against Alexander Zverev.",sports,positive,0.9773882627487183
Mbappe says mental shift helped change his Real Madrid ‘situation’,21 Jan 2025,https://www.aljazeera.com/sports/2025/1/21/mbappe-says-mental-shift-helped-change-his-real-madrid-situation,https://www.aljazeera.com/sports/2025/1/21/mbappe-says-mental-shift-helped-change-his-real-madrid-situation,French superstar has silenced his doubters in recent weeks after struggling to settle in with the Spanish giants.,sports,negative,0.9793428182601929
Elon Musk at Trump’s inauguration: What’s the history of the Nazi salute?,21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/elon-musk-at-trumps-inauguration-whats-the-history-of-the-nazi-salute,https://www.aljazeera.com/news/2025/1/21/elon-musk-at-trumps-inauguration-whats-the-history-of-the-nazi-salute,SpaceX and Tesla CEO Elon Musk comes under fire for making gesture at President Trump rally similar to Nazi salute.,news,neutral,0.5960692167282104
‘No place for friendship’: Sabalenka relishes semifinal clash with Badosa,21 Jan 2025,https://www.aljazeera.com/sports/2025/1/21/sabalenka-wont-let-badosa-friendship-dent-grand-slam-three-peat-dream,https://www.aljazeera.com/sports/2025/1/21/sabalenka-wont-let-badosa-friendship-dent-grand-slam-three-peat-dream,The best friends will meet in the Australian Open semifinals as Sabalenka looks for a third straight title in Melbourne.,sports,neutral,0.999289870262146
"Russia, Ukraine continue strikes despite Trump promise to bring swift peace",21 Jan 2025,https://www.aljazeera.com/news/2025/1/21/russia-ukraine-continue-strikes-despite-trump-promise-to-bring-swift-peace,https://www.aljazeera.com/news/2025/1/21/russia-ukraine-continue-strikes-despite-trump-promise-to-bring-swift-peace,Trump says Zelenskyy ‘wants peace deal’ and Putin must accept; Moscow says ‘no specific proposals’ from Washington.,news,neutral,0.9991195797920227
